PLEKHJ1,Plekhj1
LACC1,Lacc1
FAM76B,Fam76b
IZUMO1,Izumo1
MGARP,Mgarp
IQGAP1,Iqgap1
PLLP,Pllp
AK9,Ak9
ABCC4,Abcc4
DGAT2,Dgat2
TP53BP1,Trp53bp1
KIAA0391,1110008L16Rik
FBXO39,Fbxo39
PPP3R2,Ppp3r2
TMEM174,Tmem174
RABGGTA,Rabggta
ITLN1,Itln1
TMEM99,
OR1C1,
TNFSF4,Tnfsf4
CYP26A1,Cyp26a1
MUCL1,
MET,Met
STON1-GTF2A1L,
MC3R,Mc3r
BMT2,Bmt2
RFESD,Rfesd
FSD2,Fsd2
ANGEL1,Angel1
ESPL1,Espl1
AGXT,Agxt
ZNF704,Zfp704
CWC25,Cwc25
IGSF22,
GUF1,Guf1
RAD21,Rad21
BIK,Bik
NFIX,Nfix
ACLY,Acly
LRIT2,Lrit2
RPS6KA4,Rps6ka4
PAIP2B,Paip2b
RREB1,Rreb1
ST6GALNAC4,St6galnac4
C5H14ORF169,Riox1
RAB11FIP3,Rab11fip3
IFT43,Ift43
PIGL,Pigl
MPRIP,Mprip
LOC101929479,
GADD45G,Gadd45g
FAM192A,Fam192a
CCDC88C,Ccdc88c
C15H11orf52,2310030G06Rik
TEX43,Tex43
RAB17,Rab17
PROX1,Prox1
PRAG1,Prag1
EIF1AX,Eif1a
LEPROTL1,Leprotl1
ZIK1,Zik1
GPR78,
ELAC2,Elac2
FHAD1,Fhad1
PARP15,
LRFN3,Lrfn3
ABCC1,Abcc1
ATP6V0A1,Atp6v0a1
UBE2A,Ube2a
IRX3,Irx3
FCGRT,Fcgrt
OR56A1,
LRP1,Lrp1
SNX7,Snx7
PTPRZ1,Ptprz1
CCDC185,Ccdc185
SQSTM1,Sqstm1
GRAMD1A,Gramd1a
NLN,Nln
FBXL20,Fbxl20
UBP1,Ubp1
SON,Son
NAGLU,Naglu
CYP2E1,Cyp2e1
NBPF3,
GRP,Grp
NENF,Nenf
HERC1,Herc1
BET1L,Bet1l
FRY,Fry
STARD6,Stard6
DCAF11,Dcaf11
ANKRD54,Ankrd54
ADGRG7,Adgrg7
ETV7,
MFSD8,Mfsd8
FAM84B,Fam84b
CD81,Cd81
ANKFN1,Ankfn1
GRID1,Grid1
C23H6orf10,
MAPK3,Mapk3
DOPEY1,Dopey1
TLDC2,Tldc2
SOCS2,Socs2
NDUFS8,Ndufs8
TSPOAP1,Tspoap1
TMEM205,Tmem205
TEX13B,Tex13b
CYYR1-AS1,
NT5DC1,Nt5dc1
USP27X,Usp27x
C20H20ORF85,1700021F07Rik
SLC26A5,Slc26a5
LTN1,Ltn1
MAMSTR,Mamstr
TRPV1,Trpv1
CATSPERB,Catsperb
NANP,Nanp
CDCA7L,Cdca7l
STAT6,Stat6
MYMK,Mymk
P2RX7,P2rx7
CAPN14,
DERL1,Derl1
STYX,Styx
LRRTM2,Lrrtm2
PAPPA2,Pappa2
ASB12,Asb12
AADAC,Aadac
MAPK8,Mapk8
ARNTL,Arntl
POLR3H,Polr3h
FPGS,Fpgs
ARMCX1,Armcx1
CAMK1G,Camk1g
PHF8,Phf8
TUBAL3,Tubal3
NFYC,Nfyc
TMEM210,Tmem210
MYO1A,Myo1a
ATP6V0D1,Atp6v0d1
GJB4,Gjb4
IMP3,Imp3
VSIG10,Vsig10
KLF2,Klf2
S100A9,S100a9
MGMT,Mgmt
PDZK1IP1,Pdzk1ip1
OR8K3,Olfr1054
TBC1D4,Tbc1d4
NHEJ1,Nhej1
SRFBP1,Srfbp1
ACY1,Acy1
CFH,Cfh
NAA38,Naa38
SLC6A18,Slc6a18
DNHD1,Dnhd1
FOXQ1,Foxq1
PERP,Perp
PTCD2,Ptcd2
UBALD1,Ubald1
SPRR3,Sprr3
IFNA5,
C1H21ORF91,D16Ertd472e
OR56A4,Olfr684
MUC3A,Muc3a
CNR1,Cnr1
ECH1,Ech1
ATP6V1D,Atp6v1d
RPL3L,Rpl3l
SAMD5,Samd5
OTOR,Otor
GIMAP4,Gimap4
HOXC11,Hoxc11
PLCD4,Plcd4
IGFL3,Igfl3
PPEF1,Ppef1
PROX2,Prox2
FLOT1,Flot1
HNRNPLL,Hnrnpll
TFAP2B,Tfap2b
CHST12,Chst12
MIR1-1HG,
RGS12,Rgs12
ZNF483,Zkscan16
FBXO17,Fbxo17
SIRT6,Sirt6
OR8H1,Olfr1099
ATRAID,Atraid
ORMDL2,Ormdl2
CALR3,Calr3
HMGXB4,Hmgxb4
GEM,Gem
SLC34A1,Slc34a1
LINC00649,
LYRM2,Lyrm2
ATF3,Atf3
EPM2AIP1,Epm2aip1
CALML4,Calml4
BUD23,Bud23
CAMSAP1,Camsap1
SLFN13,Slfn9
TCAF1,Tcaf1
OR2B2,Olfr1360
NUFIP1,Nufip1
BLVRB,Blvrb
MYH9,Myh9
MORN5,Morn5
SLC35C1,Slc35c1
EHBP1,Ehbp1
CZH5ORF63,C330018D20Rik
SEMA5A,Sema5a
SCGB1D2,
GPR21,Gpr21
FCRLA,Fcrla
FGF19,Fgf15
NFASC,Nfasc
SYCE2,Syce2
MOG,Mog
EGFL8,Egfl8
SPOPL,Spopl
SYN2,Syn2
FRMPD4,Frmpd4
ZNF804B,Zfp804b
RAB26,Rab26
GGA1,Gga1
DEFA6,
PHC3,Phc3
PADI2,Padi2
UNG,Ung
PAQR3,Paqr3
C16H1orf74,A130010J15Rik
CRIP3,Crip3
C6H10ORF88,2310057M21Rik
MCTS1,Mcts1
RNF212,Rnf212
SMAD2,Smad2
ZNF229,
FSIP2,Fsip2
RSPH1,Rsph1
DCAF4,Dcaf4
CIB4,Cib4
RAD23A,Rad23a
PLA2G2A,
ZNF480,
GRM5,Grm5
ST7,St7
NAIP,Naip2
IFI16,Mndal
PSMC3,Psmc3
CCR2,Ccr2
IFT27,Ift27
MUC8,
SLC2A6,Slc2a6
OGFOD2,Ogfod2
COL23A1,Col23a1
POU2F2,Pou2f2
OR52K1,
KCNQ1,Kcnq1
ID3,Id3
ACTR5,Actr5
ZNF331,
CNTF,Cntf
IL6R,Il6ra
ZC3H15,
DCDC2,Dcdc2a
FAM50A,Fam50a
LMBRD2,Lmbrd2
NDUFB10,Ndufb10
MRVI1,Mrvi1
SRRM1,
HRASLS,Hrasls
LRRC15,Lrrc15
DPM2,Dpm2
SYNE1,Syne1
BRD9,Brd9
CCDC173,Ccdc173
CP,Cp
PPP6C,Ppp6c
ZDHHC9,Zdhhc9
SERP2,Serp2
TRPV5,Trpv5
TAS2R39,Tas2r139
SMIM15,Smim15
EGFR,Egfr
PRDM9,Prdm9
CD36,Cd36
OXGR1,Oxgr1
C10H15orf41,BC052040
COL5A3,Col5a3
AQP9,Aqp9
GLYAT,Glyat
POMGNT1,Pomgnt1
FSCN3,Fscn3
SMAD9,Smad9
GRIP1,Grip1
TMPRSS7,Tmprss7
PCDHB3,Pcdhb3
RPL13A,Rpl13a
NAT8B,Nat8f1
CKM,Ckm
CD27,Cd27
SFSWAP,Sfswap
LTC4S,Ltc4s
NCAPD3,Ncapd3
RGS3,Rgs3
TSEN2,Tsen2
SNX27,Snx27
ARHGAP23,Arhgap23
ALDH2,Aldh2
MAN2B1,Man2b1
LOC617486,
B3GNT8,B3gnt8
LRRC42,Lrrc42
MAFK,Mafk
HIST1H3C,Hist2h3c1
ZNF362,Zfp362
ELOA,Eloa
C3H1orf162,I830077J02Rik
CARD11,Card11
PRKAA1,Prkaa1
CT62,
NUP205,Nup205
ADAM32,Adam32
RXRB,Rxrb
ANKS1B,Anks1b
WDR36,Wdr36
C10H15orf61,2300009A05Rik
SESN3,Sesn3
SGMS1,Sgms1
OPN1MW3,
TRNT1,Trnt1
SF3A2,
HTR2A,Htr2a
DOK7,Dok7
SLCO4C1,Slco4c1
TIMM17B,Timm17b
TMEM110-MUSTN1,Tmem110
RAD54B,Rad54b
RNF44,Rnf44
SPACA9,Spaca9
LRIT3,Lrit3
SRD5A3,Srd5a3
ZIC1,Zic1
HIST1H2BE,Hist1h2bl
RBM6,Rbm6
SLC18A2,Slc18a2
STMN2,Stmn2
SIPA1,Sipa1
MOB3B,Mob3b
PAIP2,Paip2
DMRTA2,Dmrta2
SERTAD2,Sertad2
CDK20,Cdk20
ETHE1,Ethe1
PAN3,Pan3
NAT16,
AARSD1,Aarsd1
UGT1A6,Ugt1a6b
LTF,Ltf
IL20,Il20
BPIFA3,Bpifa3
G6PC,G6pc
APLF,Aplf
ZHX1,Zhx1
TXNRD1,Txnrd1
MFSD7,Mfsd7a
SLC25A21,Slc25a21
ASGR1,Asgr1
SPDEF,Spdef
PHF14,Phf14
CD79B,Cd79b
SGO2,Sgo2b
C1H3orf30,4930435E12Rik
ESPN,Espn
DNAJC21,Dnajc21
PSMD5,Psmd5
ATP2A3,Atp2a3
IL17C,Il17c
RNF170,Rnf170
C28H10orf105,Gm17455
ADAMTSL5,Adamtsl5
ITPKB,Itpkb
ACTA2,Acta2
RTN4RL2,Rtn4rl2
LOC101929818,
TIMM29,Timm29
C3,C3
USP38,Usp38
BPIFB3,Bpifb3
OR4F3,Olfr1303
FAM217B,Fam217b
CDC42BPA,Cdc42bpa
PPARD,Ppard
CRAMP1,Cramp1l
METTL3,Mettl3
SNIP1,Snip1
PRKX,Prkx
RGMA,Rgma
CRKL,Crkl
RBM10,Rbm10
WRB,Wrb
S1PR3,S1pr3
GPC4,Gpc4
C11H11orf45,
HCST,Hcst
PROM2,Prom2
MACC1,Macc1
SSX5,
BTNL3,
CHST2,Chst2
TEX38,Tex38
CTRB1,
ARHGAP35,Arhgap35
MAGEB17,Gm5072
ERAS,Eras
CAPN9,Capn9
PCDHB13,
SMYD3,Smyd3
MID2,Mid2
PAQR5,Paqr5
FGA,Fga
SLC26A9,Slc26a9
NR3C2,Nr3c2
CFAP70,Cfap70
PLA2G4B,Pla2g4b
SERPING1,Serping1
TP53INP1,Trp53inp1
PSG6,
SSBP2,Ssbp2
C22orf42,
TMEM164,Tmem164
ABRA,Abra
HS2ST1,Hs2st1
ZNF430,
WDCP,Wdcp
RASSF8,Rassf8
DCUN1D1,Dcun1d1
RFX8,Rfx8
TMEM184A,Tmem184a
ZNF141,
KIAA0141,0610009O20Rik
ZNF80,
OR5A1,Olfr76
STAC,Stac
DCAF13,Dcaf13
TNFSF9,
PATE4,
TKTL2,Tktl2
ITM2B,Itm2b
IMPG2,Impg2
SH3BGR,
ZNF449,Zfp449
L3MBTL1,L3mbtl1
GAMT,Gamt
TMEM74B,Tmem74b
GFRA1,Gfra1
CDC45,Cdc45
PRRG1,Prrg1
U2AF1L4,
CKAP5,Ckap5
SLC6A19,Slc6a19
DNAH12,Dnah12
NRN1L,Nrn1l
BMP3,Bmp3
OR2F2,Olfr452
RAB40C,Rab40c
ENO1,Eno1b
SYNPR,Synpr
LYPD6B,Lypd6b
ADSS,Adss
CPSF4L,Cpsf4l
DCST1,Dcst1
CYTH3,Cyth3
IGF2BP1,Igf2bp1
SRSF5,
AKR1D1,Akr1d1
CCDC85A,Ccdc85a
RFPL3,
NTSR1,Ntsr1
MRPL58,Mrpl58
RPTOR,Rptor
WWC1,Wwc1
HIST1H4J,Hist1h4f
PWWP2A,Pwwp2a
SATB2,Satb2
PFKP,Pfkp
MYO18A,Myo18a
PRKAG1,Prkag1
ACSF3,Acsf3
RNF130,Rnf130
CFD,Cfd
C3H6ORF163,Gm136
CHMP2A,Chmp2a
IMPG1,Impg1
ST8SIA4,St8sia4
RPF2,Rpf2
PCDHGA12,Pcdhga12
TAF5,Taf5
DCHS2,
SDF2,Sdf2
POTEM,
TRMU,Trmu
BLCAP,Blcap
CALHM6,Fam26f
NFATC1,Nfatc1
MSH6,Msh6
RHBDD2,Rhbdd2
RHBDD1,Rhbdd1
PSMD11,Psmd11
AMDHD2,Amdhd2
C10H14orf93,4931414P19Rik
CACNA2D3,Cacna2d3
SCN1A,Scn1a
SLC34A3,Slc34a3
PSMB2,Psmb2
POLDIP2,Poldip2
HK3,Hk3
METTL2A,Mettl2
PRKAB2,Prkab2
GRXCR1,Grxcr1
C2H18ORF8,3110002H16Rik
TAMM41,Tamm41
TUBB2B,Tubb2b
hivep2a,Hivep2
F5,F5
IFT22,Ift22
BRAT1,Brat1
PRDM14,Prdm14
ZFP36L1,Zfp36l1
CCDC112,Ccdc112
GPX2,Gpx2
STXBP4,Stxbp4
ORC2,Orc2
CHMP1A,Chmp1a
UPRT,Uprt
ZFP92,Zfp92
PHF5A,Phf5a
NKG7,Nkg7
CST9,
RPLP0,Rplp0
MICU2,Micu2
EZH2,Ezh2
KRTAP12-4,
SLC39A11,Slc39a11
TFF1,Tff1
ITGAD,Itgad
WFDC12,
GSTM2,Gstm7
KLHDC2,Klhdc2
INPP5D,Inpp5d
ABR,Abr
C9ORF152,
MLC1,Mlc1
ZMYND15,Zmynd15
KLHL25,Klhl25
ANXA2R,
ZNF225,
ENAH,Enah
MRPS18B,Mrps18b
BOD1L1,Bod1l
BCAP29,Bcap29
SH3BP1,Sh3bp1
GBE1,Gbe1
MANBAL,Manbal
ZSCAN2,Zscan2
CLCNKA,Clcnkb
CLDN16,Cldn16
CKLF,Cklf
DVL1,Dvl1
CCDC105,Ccdc105
MCPH1,Mcph1
TRMT61B,
SPATA17,Spata17
IL20RA,Il20ra
TUBGCP6,Tubgcp6
PGS1,Pgs1
CNDP2,Cndp2
ST20,
HERPUD1,Herpud1
GNB3,Gnb3
CFAP157,Cfap157
MXD1,Mxd1
MOCS1,
ARMS2,
MSX2,Msx2
GABRG1,Gabrg1
SCEL,Scel
BTN3A3,
SLC25A20,Slc25a20
DPYD,Dpyd
NOTCH4,Notch4
ATP6V1G2,Atp6v1g2
HAVCR1,
POU3F2,Pou3f2
GDF1,Gdf1
RSPO3,Rspo3
OSCP1,Oscp1
KNG1,Kng2
SDHA,Sdha
ZNF454,Zfp454
PYDC1,
TMEM47,Tmem47
CD48,Cd48
DHRS9,Dhrs9
ALKBH5,Alkbh5
DIS3L2,Dis3l2
KDR,Kdr
EPCAM,Epcam
NIPSNAP3A,Nipsnap3b
TAGLN2,Tagln2
LRRC8B,Lrrc8b
IBA57,Iba57
KLHDC9,Klhdc9
AMPH,Amph
PIP5K1A,Pip5k1a
PNPLA4,
VGLL1,Vgll1
HLF,Hlf
ASTL,Astl
CLEC19A,
SLC10A1,Slc10a1
C4H20ORF194,4930402H24Rik
BORCS5,Borcs5
EAPP,Eapp
POLN,
MAP2K5,Map2k5
PDHA1,Pdha1
MRPS27,Mrps27
HIST1H1C,Hist1h1c
ACAP2,Acap2
GDPD3,Gdpd3
ZNF784,Zfp784
BEND2,
CD300LG,Cd300lg
PTPRB,Ptprb
PIN1,Pin1
C12orf80,
CYP2B6,Cyp2b10
MYL12A,Myl12b
ARHGAP25,Arhgap25
ZNF75D,
CRISP1,Crisp4
LRBA,Lrba
NDUFS5,
PKM,Pkm
TIMM21,Timm21
SH3GLB2,Sh3glb2
KCNJ6,Kcnj6
AHNAK,Ahnak
KNCN,Kncn
CES2,Ces2h
XKRX,Xkrx
PHGDH,Phgdh
TESPA1,Tespa1
NACAD,
DOK3,Dok3
MARCH9,March9
BIRC2,Birc2
BNIP3L,Bnip3l-ps
NR2C1,Nr2c1
PCDHB16,Pcdhb17
SLC9A3,Slc9a3
XKR7,Xkr7
MISP,Misp
ZNF555,
ITGA1,Itga1
UBA52,Uba52-ps
BTAF1,Btaf1
SEPT6,Sept6
KRTAP12-2,Gm10142
PLEKHF1,Plekhf1
QDPR,Qdpr
HVCN1,Hvcn1
OR2D3,Olfr716
ZNF845,Gm31526
THG1L,Thg1l
PDC,Pdc
SDCBP2,Sdcbp2
ZNF559-ZNF177,Zfp965
FOXD4,Foxd4
ARPC3,Arpc3
PXDNL,
PNPLA5,Pnpla5
GTPBP8,Gtpbp8
ADNP2,Adnp2
ZNF347,
BDKRB2,Bdkrb2
ZNF799,Zfp799
AADACL4,Aadacl4
FNDC4,Fndc4
MRPS12,Mrps12
MKNK2,Mknk2
EPS8L1,Eps8l1
CAAP1,Caap1
NLRC3,Nlrc3
ABHD14B,Abhd14b
MRGPRX3,Mrgpra9
MLH3,Mlh3
GML,Gml2
MITD1,Mitd1
OR52E8,Olfr675
LRRFIP2,
CARF,Carf
RNASET2,Rnaset2b
NUP37,Nup37
HCRT,Hcrt
LKAAEAR1,Lkaaear1
KLHDC10,Klhdc10
DHX8,Dhx8
ZNF407,Zfp407
NXF3,Nxf3
LOC101059915,
CTXN2,Ctxn2
HNRNPH3,Hnrnph3
GK5,Gk5
PQLC2,Pqlc2
MDM1,mdm1
SFPQ,Sfpq
NCOA1,Ncoa1
SLC16A10,Slc16a10
CD5,Cd5
MTDH,Mtdh
HIST3H2BB,Hist3h2bb-ps
H1FNT,
ABRAXAS1,Abraxas1
PTGER2,Ptger2
GPR141,Gpr141
HLCS,Hlcs
UGT1A1,Ugt1a1
MORN2,Morn2
MFSD2B,Mfsd2b
SNX21,Snx21
SUMO2,Sumo2
CHAF1B,Chaf1b
OR1E1,
PAPLN,Papln
MARF1,Marf1
HAS1,Has1
NDUFA4,Ndufa4
SPRTN,Sprtn
MPZ,Mpz
TCEA2,Tcea2
DEFB112,
LMO4,Lmo4
DHCR7,Dhcr7
HRK,
TSSK6,Tssk6
CXHXorf57,D330045A20Rik
NUB1,Nub1
CPSF6,Cpsf6
ZFYVE21,Zfyve21
KCNQ5,Kcnq5
FAT2,Fat2
TCTA,Tcta
TIFAB,Tifab
SLC7A5,Slc7a5
HIST1H3B,Hist2h3b
SPRYD4,Spryd4
DEFB129,Defb23
H2AFZ,H2afz
RIMS1,Rims1
ADAM9,Adam9
COX6A1,Cox6a1
PLB1,Plb1
CACNA1B,Cacna1b
RBFOX3,
C19H17orf49,0610010K14Rik
GPANK1,Gpank1
RGS5,Rgs5
ZNF461,
KHDRBS1,Khdrbs1
GYPC,Gypc
FOLR1,Folr1
TSR1,Tsr1
DLX5,Dlx5
EPHB6,Ephb6
RNF223,Rnf223
ZCCHC14,Zcchc14
EN1,En1
ZNF560,Zfp560
SPINK6,
CD55,Cd55b
ARHGEF4,Arhgef4
HNRNPCL4,
SMIM21,
AXIN2,Axin2
RHOF,Rhof
MACF1,
TDRD3,Tdrd3
HMGCLL1,Hmgcll1
MAJIN,Majin
GGT7,Ggt7
ARL4C,Arl4c
FGF4,Fgf4
CTIF,Ctif
CCDC33,Ccdc33
EGFL7,Egfl7
TMED7-TICAM2,
TRIP10,Trip10
TADA3,Tada3
ORC3,Orc3
PRX,Prx
TSPYL2,Tspyl2
SLC9A2,Slc9a2
HOXC6,Hoxc6
ARMC6,Armc6
C1HXORF59,Gm7173
RABGGTB,Rabggtb
ABHD11,Abhd11
ZNF750,Zfp750
KCNC2,Kcnc2
NFRKB,Nfrkb
SLC40A1,Slc40a1
RNF8,Rnf8
OTC,Otc
C18H19orf81,1700008O03Rik
SNX8,Snx8
AHRR,Ahrr
MICAL3,Mical3
CIITA,Ciita
B3GALT5,B3galt5
TOP2A,Top2a
DDX4,Ddx4
LPAR4,Lpar4
USP26,Usp26
CYB5D1,Cyb5d1
ETV1,Etv1
KRTAP3-2,
MRPS30,Mrps30
OR2V2,Olfr1396
EIF1,
MOB4,Mob4
TRIM34,
FAM166A,Fam166a
SBK1,Sbk1
DYRK4,Dyrk4
RXFP3,Rxfp3
ZNF429,
CSF2,Csf2
IL6,Il6
UBR2,Ubr2
USP5,Usp5
IGSF5,Igsf5
ZFP62,Zfp62
ZSCAN31,
LRMDA,Lrmda
EDDM3A,
CD160,Cd160
FOXI1,Foxi1
CIC,Cic
CLTB,Cltb
SLC13A4,Slc13a4
DDTL,
CNOT8,Cnot8
ATXN2L,Atxn2l
MS4A6E,
ZNF827,Zfp827
G3BP1,G3bp1
LRTOMT,Tomt
NMD3,Nmd3
A4GALT,A4galt
NTN3,Ntn3
NCMAP,Ncmap
CCDC25,Ccdc25
DNAJC5G,Dnajc5g
FAM124A,Fam124a
FOXA3,Foxa3
PTTG1,Pttg1
ERRFI1,Errfi1
PODN,Podn
RGSL1,Rgsl1
FMN1,Fmn1
LOC100996693,
CRHR1,Crhr1
OR4C6,Olfr1230
SLC6A15,Slc6a15
CBX3,Cbx3
TYSND1,Tysnd1
GALR1,Galr1
NUDT3,Nudt3
OR52N5,
CDH20,Cdh20
ITCH,Itch
WDR13,Wdr13
VASN,Vasn
FHDC1,Fhdc1
LOC102724728,
CENPU,Cenpu
ZNF821,Zfp821
NFAT5,Nfat5
OOSP2,Oosp2
RAI14,Rai14
NAA10,Naa10
SPIC,Spic
TMEM150B,Tmem150b
LIPC,Lipc
DMGDH,Dmgdh
RB1CC1,Rb1cc1
PLA2G2F,Pla2g2f
DNM1,Dnm1
TSGA10,Tsga10
OTOG,Otog
FGB,Fgb
CWF19L1,Cwf19l1
THPO,Thpo
KCNAB1,Kcnab1
SYT2,Syt2
GET4,Get4
BCL2L13,Bcl2l13
BPIFB4,Bpifb4
CLDN9,Cldn9
MEP1A,Mep1a
TEX261,Tex261
ATP5A1,Atp5a1
KXD1,Kxd1
LRRIQ3,Lrriq3
MYL7,Myl7
C5H12orf54,
DEFB132,
PHLDB3,Phldb3
PPBP,
CELSR3,Celsr3
EFNA2,Efna2
ATP5C1,Atp5c1
SMIM10L1,Smim10l1
OR56B1,Olfr657
LOC100130705,Gm9047
CAP2,Cap2
TMEM14C,Tmem14c
FAM98A,Fam98a
PPIE,Ppie
RAPSN,Rapsn
FRMD4A,Frmd4a
C19H17orf62,BC017643
MNDA,
SLC22A5,Slc22a5
CT47A9,
SLC12A6,Slc12a6
ZNF547,
SLC22A12,Slc22a12
SFT2D1,Sft2d1
PANK4,Pank4
SERP1,Serp1
CIRBP,Cirbp
FOXA1,Foxa1
PPP2R2B,Ppp2r2b
PEX13,Pex13
TLDC1,Tldc1
HEPHL1,Hephl1
CDSN,
ALPK2,Alpk2
CLPB,Clpb
MIF4GD,Mif4gd
TRHR,Trhr
EIF2S2,Eif2s2
GLTPD2,Gltpd2
LIG1,Lig1
PIH1D2,Pih1d2
PLA2G6,Pla2g6
XPR1,Xpr1
ZFPM1,Zfpm1
LOC100505710,
FKBP7,Fkbp7
MSTN,Mstn
BEND4,Bend4
PCDH10,Pcdh10
RPA4,
TTC30A,Ttc30a1
NPHP1,Nphp1
TCFL5,Tcfl5
COL4A1,Col4a1
FAM84A,Fam84a
FMNL1,
YY2,Yy2
SAT2,Sat2
C8orf58,9930012K11Rik
KCNG1,Kcng1
ETNK2,Etnk2
SHOC2,Shoc2
PSKH2,
PPEF2,Ppef2
NFU1,Nfu1
PPP2R5C,
C15H11orf53,1810046K07Rik
C19orf84,
KALRN,Kalrn
CMA1,Cma1
SLC2A11,
MYL9,Myl9
RPL5,Rpl5
FOXD4L1,
SCARF2,Scarf2
TGM6,Tgm6
SULT1C4,
FAT3,Fat3
FAM3D,Oit1
ARL13A,Arl13a
CFAP43,Cfap43
RPL35,Rpl35
KCND2,Kcnd2
LSM6,Lsm6
IL1F10,Il1f10
ZBTB12,Zbtb12
SPATA16,Spata16
ALOXE3,Aloxe3
MANSC4,Mansc4
FANCD2OS,Fancd2os
MTPN,Mtpn
KIAA1324L,9330182L06Rik
FBXW9,Fbxw9
TCF7L1,Tcf7l1
MIGA1,Miga1
SAA2-SAA4,Saa4
CD53,Cd53
AMOT,Amot
GPR142,Gpr142
ZNF30,
C1H3orf80,1110032F04Rik
LMAN2L,Lman2l
TNNT3,Tnnt3
SLC37A2,Slc37a2
CPLX2,Cplx2
ATXN1,Atxn1
PSMB7,Psmb7
OR8G5,Olfr935
C1QTNF1,C1qtnf1
TMEM229B,Tmem229b
FABP4,Fabp4
KRBOX4,
KRT79,Krt79
MACROD2,Macrod2
RSF1,Rsf1
IL15,Il15
GALNTL5,Galntl5
GMDS,Gmds
CUL4B,Cul4b
BNC2,Bnc2
P2RX6,P2rx6
UBE2H,Ube2h
TOM1L2,Tom1l2
CIB1,Cib1
LMBRD1,Lmbrd1
APCS,Apcs
ABHD17A,Abhd17a
DDX51,Ddx51
TNNT1,Tnnt1
FEZF2,Fezf2
CDX1,Cdx1
GJB2,Gjb2
PHLDA3,Phlda3
ZKSCAN3,Zkscan3
IL17B,Il17b
SFTA2,
SMPD4,Smpd4
IREB2,Ireb2
ADGB,Adgb
SOAT1,Soat1
ALDOC,Aldoc
ECI2,Eci2
C14ORF166B,Lrrc74b
C19H19orf33,
ABO,Abo
AEN,Aen
CCDC94,Ccdc94
LRCH1,Lrch1
CHRNB4,Chrnb4
GNB5,Gnb5
TG,Tg
IGSF21,Igsf21
KCNK10,Kcnk10
INSIG2,Insig2
DCAF4L1,
ATG2A,Atg2a
N4BP3,N4bp3
SLC25A5,Slc25a5
KRTAP2-2,
ZNF277,Zfp277
ZMYM4,Zmym4
NF2,Nf2
UBL4B,Ubl4b
MUC5B,Muc5b
ZNF720,
MAGEA6,
CALCB,Calca
ZNF451,Zfp451
KDELC2,Kdelc2
DCDC2B,Dcdc2b
PI4KB,Pi4kb
COL16A1,Col16a1
CIDEB,Cideb
CASC4,Casc4
CCDC126,Ccdc126
PGAM5,Pgam5
MAGED1,Maged1
C1GALT1C1,C1galt1c1
ZNF792,
SMCHD1,Smchd1
MCFD2,Mcfd2
NUDT18,Nudt18
METTL13,Mettl13
TTC25,Ttc25
RNF4,Rnf4
EXOSC2,Exosc2
BICD1,Bicd1
GPR146,Gpr146
ABL1,Abl1
CARNMT1,Carnmt1
C10H10orf55,
UBAP2L,
C1H12ORF66,BC048403
ALKBH8,Alkbh8
PRRT4,Prrt4
C8H1ORF112,BC055324
RNF225,Rnf225
PPIL6,Ppil6
ATF6B,Atf6b
PLAC1,Plac1
C21H14orf132,
TMEM192,Tmem192
TEX28,Tex28
SIRPA,Sirpa
FBXW7,Fbxw7
C16orf96,4930562C15Rik
FAM189B,Fam189b
TNR,Tnr
GNG7,Gng7
JHY,Jhy
CABCOCO1,Cabcoco1
HBA2,Hba-a2
C8orf88,Gm11837
LY6E,Ly6e
AMBP,Ambp
OR9Q1,Olfr1500
SCIMP,Scimp
KIAA1217,Etl4
LEKR1,Lekr1
HTR1A,Htr1a
TLR5,Tlr5
LETM1,Letm1
BMP6,Bmp6
FOXR2,Foxr2
KRT5,Krt5
SUN1,Sun1
RTL4,Rtl4
CHMP3,Chmp3
PABPC1,Pabpc1
CCNB2,Ccnb2
SCAI,Scai
ETS2,Ets2
ZNF135,
SOX12,Sox12
ME3,Me3
INMT,Inmt
EIF4A1,Eif4a1
AGRP,Agrp
KLHL18,Klhl18
C7H2ORF66,Gm34066
SLC1A6,Slc1a6
GSDMC,Gsdmc4
ATP10A,Atp10a
CPEB3,Cpeb3
KRI1,Kri1
ODAM,Odam
DNASE2B,Dnase2b
SLC30A10,Slc30a10
ZNF177,
SOWAHB,Sowahb
ELP4,Elp4
FCHO2,Fcho2
TBC1D29,
PRAMEF8,Pramef8
SP3,Sp3
XK,Xk
GJB7,
CT45A5,
ZNF445,Zfp445
GLT6D1,Glt6d1
C29H11orf95,2700081O15Rik
HLA-F,Gm7030
LVRN,Lvrn
UBE2Q1,Ube2q1
CEP68,Cep68
LPIN2,Lpin2
NCAPG2,Ncapg2
FKBP1B,Fkbp1b
ARL14EP,Arl14ep
LCNL1,
HRH1,Hrh1
CLNK,Clnk
BICRAL,Bicral
BRMS1L,Brms1l
PRKRA,Prkra
GPR108,Gpr108
TMBIM4,Tmbim4
PLTP,Pltp
CANX,Canx
VN1R4,Vmn1r237
FRK,Frk
GAS2L3,Gas2l3
C19H17orf107,4930544D05Rik
SPRYD7,Spryd7
FBXL22,
RNASEK,Rnasek
TPRG1,Tprg
PRAMEF17,
MRGPRX4,Mrgprx1
GRXCR2,Grxcr2
UTP15,Utp15
